Series Number,Filename,Name,Description,Gender,Attributes- Hair. Eyes. Teeth. Clothing. Accessories. Expression. Strrength. Weakness,UUID,sha256
TEAM BEVEL,,,,,,
1,adewale-the-amebo,adewale the amebo,adewale the amebo,male,"hair: bald, eyes: black, teeth: none, clothing: red, accessories: mask, expression: none, strength: powerful, weakness: curiosity",cad316c3-37f8-4b27-9f53-9d803bfcfee7,5af433da1c5ffcce52aac55753e5f7f2af92824bc736156544642386bfeb466e
2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,male,"hair: bald, eyes: white, teeth: none, clothing: yellow, accessories: mask, expression: unknown, strength: powerful, weakness: none",a57ecda4-a26f-4e97-a757-e1800af39aab,8eb7d7d253fcba52add4e6ab4c9b4fee011b20579049cc261d80fcda39495b3d
3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,female,"hair: brown bun, eyes: unknown, teeth: none, clothing: yellow, accessories: glasses, expression: blank, strength: powerful, weakness: attitude",0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,95d816fa7951a322549f2c3da9a252ceff83e9746aa2b5431dd551de410fb484
4,aminu-the-carpenter,aminu the carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",male,"hair: bald, eyes: blue, teeth: none, clothing: yellow, accessories: mask, expression: unknown, strength: powerful, weakness: none",4f30b751-96e7-40fe-97fd-e3d44973ff2f,3cf5719ea03720efa7844af4309451bc3702c74a6346ebd71afdade015fd5731
5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,male,"hair: bald, eyes: black, teeth: none, clothing: blue, accessories: mask, expression: unknown, strength: hustler, weakness: none",5ce854f2-7ac1-46fd-b3fe-57583935d1e5,7dec0c00f8cb5edf2a7249021d0477878012c34a12bd7359b1e4e2daaad1c9a2
6,chidinma-the-model,chidinma the model,"From Paris' runways, to London's streets, she's always in demand.",female,"hair: brown hair, eyes: unknown, teeth: none, clothing: multicolored, accessories: glasses, expression: ",c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,7b6a37982f4121d39dc681b340897ebd4b97dedce76b9af89c9d99254c4206fc
7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,female,,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,9b30fe971d2204239218be5396cc1cb8ab5e3e524366aa6dec561c7630c5f734
8,damilare-the-handsome,damilare the handsome,He's a fine boy. Everyone loves his face(and him).,male,,27eca2dc-d7df-474a-8f8f-1858152c711e,e39ec45cd266c3aede8cf4ebb0fd8f89a2e4f4edc12c9add0b751a6c46a9c5a9
9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,male,,f1df8270-4d60-4bd4-8959-ba7c384db5c4,12172f3b50a6f0e08ae92843f9190f3012654fcd301edbf372aaaf6b130ccaf2
10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,male,,9b3d75da-4887-4089-aee4-50de3954fdc9,daa9ad8ad4ca3b25e286cc9f8fe274cf810e9a77d8cca665c7bddfb86821cd00
